Tempo,Referencia,Erro,Posicao
0.000000,1.000000,0.951124,0.048876
0.001000,1.000000,0.995112,0.004888
0.004000,1.000000,0.956012,0.043988
0.007000,1.000000,1.000000,0.000000
0.010000,1.000000,0.956012,0.043988
0.014000,1.000000,0.956012,0.043988
0.017000,1.000000,1.000000,0.000000
0.020000,1.000000,0.956012,0.043988
0.024000,1.000000,0.956012,0.043988
0.027000,1.000000,0.936461,0.063539
0.030000,1.000000,0.956012,0.043988
0.034000,1.000000,0.956012,0.043988
0.037000,1.000000,0.946237,0.053763
0.040000,1.000000,0.956012,0.043988
0.045000,1.000000,0.956012,0.043988
0.048000,1.000000,0.956012,0.043988
0.051000,1.000000,0.956012,0.043988
0.055000,1.000000,0.956012,0.043988
0.058000,1.000000,0.956012,0.043988
0.061000,1.000000,0.970675,0.029326
0.065000,1.000000,0.956012,0.043988
0.068000,1.000000,0.956012,0.043988
0.071000,1.000000,0.980450,0.019550
0.075000,1.000000,0.956012,0.043988
0.078000,1.000000,0.956012,0.043988
0.081000,1.000000,0.985337,0.014663
0.084000,1.000000,0.951124,0.048876
0.089000,1.000000,0.951124,0.048876
0.092000,1.000000,0.985337,0.014663
0.095000,1.000000,0.941349,0.058651
0.099000,1.000000,0.941349,0.058651
0.102000,1.000000,0.980450,0.019550
0.105000,1.000000,0.936461,0.063539
0.109000,1.000000,0.936461,0.063539
0.112000,1.000000,0.921799,0.078201
0.115000,1.000000,0.931574,0.068426
0.119000,1.000000,0.931574,0.068426
0.122000,1.000000,0.926686,0.073314
0.125000,1.000000,0.926686,0.073314
0.130000,1.000000,0.926686,0.073314
0.133000,1.000000,0.926686,0.073314
0.136000,1.000000,0.921799,0.078201
0.140000,1.000000,0.921799,0.078201
0.143000,1.000000,0.916911,0.083089
0.146000,1.000000,0.916911,0.083089
0.150000,1.000000,0.912023,0.087977
0.153000,1.000000,0.907136,0.092864
0.156000,1.000000,0.902248,0.097752
0.160000,1.000000,0.897361,0.102639
0.163000,1.000000,0.892473,0.107527
0.166000,1.000000,0.912023,0.087977
0.169000,1.000000,0.887586,0.112414
0.174000,1.000000,0.887586,0.112414
0.177000,1.000000,0.912023,0.087977
0.180000,1.000000,0.882698,0.117302
0.184000,1.000000,0.882698,0.117302
0.187000,1.000000,0.916911,0.083089
0.190000,1.000000,0.877810,0.122190
0.194000,1.000000,0.877810,0.122190
0.197000,1.000000,0.921799,0.078201
0.200000,1.000000,0.872923,0.127077
0.204000,1.000000,0.868035,0.131965
0.207000,1.000000,0.848485,0.151515
0.210000,1.000000,0.853372,0.146628
0.215000,1.000000,0.848485,0.151515
0.218000,1.000000,0.828934,0.171065
0.221000,1.000000,0.838710,0.161290
0.225000,1.000000,0.838710,0.161290
0.228000,1.000000,0.833822,0.166178
0.231000,1.000000,0.828934,0.171065
0.235000,1.000000,0.824047,0.175953
0.238000,1.000000,0.819159,0.180841
0.241000,1.000000,0.819159,0.180841
0.245000,1.000000,0.809384,0.190616
0.248000,1.000000,0.809384,0.190616
0.251000,1.000000,0.804497,0.195503
0.254000,1.000000,0.799609,0.200391
0.259000,1.000000,0.794721,0.205279
0.262000,1.000000,0.814272,0.185728
0.265000,1.000000,0.794721,0.205279
0.269000,1.000000,0.789834,0.210166
0.272000,1.000000,0.824047,0.175953
0.275000,1.000000,0.784946,0.215054
0.279000,1.000000,0.784946,0.215054
0.282000,1.000000,0.824047,0.175953
0.285000,1.000000,0.784946,0.215054
0.289000,1.000000,0.780059,0.219941
0.292000,1.000000,0.765396,0.234604
0.295000,1.000000,0.770283,0.229717
0.300000,1.000000,0.760508,0.239492
0.303000,1.000000,0.745846,0.254154
0.306000,1.000000,0.750733,0.249267
0.310000,1.000000,0.755621,0.244379
0.313000,1.000000,0.750733,0.249267
0.316000,1.000000,0.745846,0.254154
0.320000,1.000000,0.740958,0.259042
0.323000,1.000000,0.736070,0.263930
0.326000,1.000000,0.726295,0.273705
0.330000,1.000000,0.721408,0.278592
0.333000,1.000000,0.721408,0.278592
0.336000,1.000000,0.716520,0.283480
0.339000,1.000000,0.711632,0.288368
0.344000,1.000000,0.706745,0.293255
0.347000,1.000000,0.701857,0.298143
0.350000,1.000000,0.696970,0.303030
0.354000,1.000000,0.692082,0.307918
0.357000,1.000000,0.706745,0.293255
0.360000,1.000000,0.687195,0.312805
0.364000,1.000000,0.687195,0.312805
0.367000,1.000000,0.721408,0.278592
0.370000,1.000000,0.687195,0.312805
0.374000,1.000000,0.682307,0.317693
0.377000,1.000000,0.726295,0.273705
0.380000,1.000000,0.682307,0.317693
0.385000,1.000000,0.682307,0.317693
0.388000,1.000000,0.667644,0.332356
0.391000,1.000000,0.677419,0.322581
0.395000,1.000000,0.677419,0.322581
0.398000,1.000000,0.662757,0.337243
0.401000,1.000000,0.667644,0.332356
0.405000,1.000000,0.662757,0.337243
0.408000,1.000000,0.657869,0.342131
0.411000,1.000000,0.643206,0.356794
0.415000,1.000000,0.628543,0.371457
0.418000,1.000000,0.623656,0.376344
0.421000,1.000000,0.623656,0.376344
0.424000,1.000000,0.623656,0.376344
0.429000,1.000000,0.623656,0.376344
0.432000,1.000000,0.618768,0.381232
0.435000,1.000000,0.618768,0.381232
0.439000,1.000000,0.618768,0.381232
0.442000,1.000000,0.623656,0.376344
0.445000,1.000000,0.613881,0.386119
0.449000,1.000000,0.618768,0.381232
0.452000,1.000000,0.643206,0.356794
0.455000,1.000000,0.608993,0.391007
0.459000,1.000000,0.604106,0.395894
0.462000,1.000000,0.638319,0.361681
0.465000,1.000000,0.594330,0.405670
0.470000,1.000000,0.584555,0.415445
0.473000,1.000000,0.628543,0.371457
0.476000,1.000000,0.579668,0.420332
0.480000,1.000000,0.579668,0.420332
0.483000,1.000000,0.565005,0.434995
0.486000,1.000000,0.569892,0.430108
0.490000,1.000000,0.569892,0.430108
0.493000,1.000000,0.555230,0.444770
0.496000,1.000000,0.560117,0.439883
0.500000,1.000000,0.555230,0.444770
0.503000,1.000000,0.555230,0.444770
0.506000,1.000000,0.550342,0.449658
0.510000,1.000000,0.545455,0.454545
0.514000,1.000000,0.545455,0.454545
0.517000,1.000000,0.540567,0.459433
0.520000,1.000000,0.540567,0.459433
0.524000,1.000000,0.535679,0.464321
0.527000,1.000000,0.535679,0.464321
0.530000,1.000000,0.530792,0.469208
0.534000,1.000000,0.525904,0.474096
0.537000,1.000000,0.540567,0.459433
0.540000,1.000000,0.525904,0.474096
0.544000,1.000000,0.521017,0.478983
0.547000,1.000000,0.550342,0.449658
0.550000,1.000000,0.516129,0.483871
0.555000,1.000000,0.511241,0.488759
0.558000,1.000000,0.550342,0.449658
0.561000,1.000000,0.506354,0.493646
0.565000,1.000000,0.501466,0.498534
0.568000,1.000000,0.486804,0.513196
0.571000,1.000000,0.496579,0.503421
0.575000,1.000000,0.491691,0.508309
0.578000,1.000000,0.477028,0.522972
0.581000,1.000000,0.481916,0.518084
0.585000,1.000000,0.481916,0.518084
0.588000,1.000000,0.477028,0.522972
0.591000,1.000000,0.477028,0.522972
0.595000,1.000000,0.477028,0.522972
0.599000,1.000000,0.477028,0.522972
0.602000,1.000000,0.477028,0.522972
0.605000,1.000000,0.472141,0.527859
0.609000,1.000000,0.467253,0.532747
0.612000,1.000000,0.467253,0.532747
0.615000,1.000000,0.462366,0.537634
0.619000,1.000000,0.457478,0.542522
